State Code,County Code,Site Num,Date Local,Latitude,Longitude,State Name,County Name,City Name,PM2.5 Mean,PM10 Mean
1,73,23,2023-08-25,33.553056,-86.815,Alabama,Jefferson,Birmingham,18.2,50
1,73,23,2023-08-26,33.553056,-86.815,Alabama,Jefferson,Birmingham,15.975,47
1,73,23,2023-08-27,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.170833,29
1,73,23,2023-08-28,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.566667,27
1,73,23,2023-08-29,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.0625,21
1,73,23,2023-08-30,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.3375,23
1,73,23,2023-08-31,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.104167,27
1,73,23,2023-09-01,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.145833,24
1,73,23,2023-09-02,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.991667,20
1,73,23,2023-09-03,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.316667,26
1,73,23,2023-09-04,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.4,26
1,73,23,2023-09-05,33.553056,-86.815,Alabama,Jefferson,Birmingham,18.5125,36
1,73,23,2023-09-06,33.553056,-86.815,Alabama,Jefferson,Birmingham,13.3875,27
1,73,23,2023-09-07,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.766667,25
1,73,23,2023-09-08,33.553056,-86.815,Alabama,Jefferson,Birmingham,15.013043,41
1,73,23,2023-09-09,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.708333,31
1,73,23,2023-09-10,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.416667,29
1,73,23,2023-09-11,33.553056,-86.815,Alabama,Jefferson,Birmingham,17.35,42
1,73,23,2023-09-12,33.553056,-86.815,Alabama,Jefferson,Birmingham,21.629167,47
1,73,23,2023-09-13,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.9375,29
1,73,23,2023-09-14,33.553056,-86.815,Alabama,Jefferson,Birmingham,13.7375,29
1,73,23,2023-09-15,33.553056,-86.815,Alabama,Jefferson,Birmingham,12.879167,32
1,73,23,2023-09-16,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.608333,23
1,73,23,2023-09-17,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.145833,25
1,73,23,2023-09-18,33.553056,-86.815,Alabama,Jefferson,Birmingham,19.0,42
1,73,23,2023-09-19,33.553056,-86.815,Alabama,Jefferson,Birmingham,17.516667,34
1,73,23,2023-09-20,33.553056,-86.815,Alabama,Jefferson,Birmingham,35.220833,64
1,73,23,2023-09-21,33.553056,-86.815,Alabama,Jefferson,Birmingham,16.483333,39
1,73,23,2023-09-22,33.553056,-86.815,Alabama,Jefferson,Birmingham,22.954167,52
1,73,23,2023-09-23,33.553056,-86.815,Alabama,Jefferson,Birmingham,15.283333,43
1,73,23,2023-09-24,33.553056,-86.815,Alabama,Jefferson,Birmingham,15.725,43
1,73,23,2023-09-25,33.553056,-86.815,Alabama,Jefferson,Birmingham,25.575,55
1,73,23,2023-09-26,33.553056,-86.815,Alabama,Jefferson,Birmingham,19.208333,46
1,73,23,2023-09-27,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.8875,32
1,73,23,2023-09-28,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.241667,27
1,73,23,2023-09-29,33.553056,-86.815,Alabama,Jefferson,Birmingham,16.220833,34
1,73,23,2023-09-30,33.553056,-86.815,Alabama,Jefferson,Birmingham,12.745833,34
1,73,23,2023-01-03,33.553056,-86.815,Alabama,Jefferson,Birmingham,4.3,13
1,73,23,2023-01-06,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.5,20
1,73,23,2023-01-09,33.553056,-86.815,Alabama,Jefferson,Birmingham,4.1,20
1,73,23,2023-01-12,33.553056,-86.815,Alabama,Jefferson,Birmingham,12.6,25
1,73,23,2023-01-15,33.553056,-86.815,Alabama,Jefferson,Birmingham,3.9,18
1,73,23,2023-01-18,33.553056,-86.815,Alabama,Jefferson,Birmingham,4.9,17
1,73,23,2023-01-21,33.553056,-86.815,Alabama,Jefferson,Birmingham,2.5,13
1,73,23,2023-01-24,33.553056,-86.815,Alabama,Jefferson,Birmingham,5.6,21
1,73,23,2023-01-27,33.553056,-86.815,Alabama,Jefferson,Birmingham,6.2,16
1,73,23,2023-01-30,33.553056,-86.815,Alabama,Jefferson,Birmingham,3.4,12
1,73,23,2023-02-02,33.553056,-86.815,Alabama,Jefferson,Birmingham,0.9,7
1,73,23,2023-02-05,33.553056,-86.815,Alabama,Jefferson,Birmingham,5.4,16
1,73,23,2023-02-08,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.7,31
1,73,23,2023-02-11,33.553056,-86.815,Alabama,Jefferson,Birmingham,2.0,14
1,73,23,2023-02-14,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.3,38
1,73,23,2023-02-17,33.553056,-86.815,Alabama,Jefferson,Birmingham,1.0,9
1,73,23,2023-02-20,33.553056,-86.815,Alabama,Jefferson,Birmingham,7.0,30
1,73,23,2023-02-23,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.4,30
1,73,23,2023-02-26,33.553056,-86.815,Alabama,Jefferson,Birmingham,5.3,21
1,73,23,2023-03-01,33.553056,-86.815,Alabama,Jefferson,Birmingham,13.3,46
